"X1","X2","X3","Weight"
-1,-1,-1,25.4906692406692
-1,-1,-0.875,27.0082247425997
-1,-1,-0.75,28.3675193050193
-1,-1,-0.625,29.5685529279279
-1,-1,-0.5,30.6113256113256
-1,-1,-0.375,31.4958373552124
-1,-1,-0.25,32.2220881595882
-1,-1,-0.125,32.790078024453
-1,-1,0,33.199806949807
-1,-1,0.125,33.4512749356499
-1,-1,0.25,33.544481981982
-1,-1,0.375,33.4794280888031
-1,-1,0.5,33.2561132561133
-1,-1,0.625,32.8745374839125
-1,-1,0.75,32.3347007722008
-1,-1,0.875,31.6366031209781
-1,-1,1,30.7802445302445
-1,-0.875,-1,26.4824686293436
-1,-0.875,-0.875,27.9897281209781
-1,-0.875,-0.75,29.3387266731017
-1,-0.875,-0.625,30.5294642857143
-1,-0.875,-0.5,31.561940958816
-1,-0.875,-0.375,32.4361566924067
-1,-0.875,-0.25,33.1521114864865
-1,-0.875,-0.125,33.7098053410553
-1,-0.875,0,34.1092382561133
-1,-0.875,0.125,34.3504102316602
-1,-0.875,0.25,34.4333212676963
-1,-0.875,0.375,34.3579713642214
-1,-0.875,0.5,34.1243605212355
-1,-0.875,0.625,33.7324887387387
-1,-0.875,0.75,33.182356016731
-1,-0.875,0.875,32.4739623552124
-1,-0.875,1,31.6073077541828
-1,-0.75,-1,27.3578024453024
-1,-0.75,-0.875,28.8547659266409
-1,-0.75,-0.75,30.1934684684685
-1,-0.75,-0.625,31.3739100707851
-1,-0.75,-0.5,32.3960907335907
-1,-0.75,-0.375,33.2600104568855
-1,-0.75,-0.25,33.9656692406692
-1,-0.75,-0.125,34.5130670849421
-1,-0.75,0,34.902203989704
-1,-0.75,0.125,35.133079954955
-1,-0.75,0.25,35.205694980695
-1,-0.75,0.375,35.1200490669241
-1,-0.75,0.5,34.8761422136422
-1,-0.75,0.625,34.4739744208494
-1,-0.75,0.75,33.9135456885457
-1,-0.75,0.875,33.194856016731
-1,-0.75,1,32.3179054054054
-1,-0.625,-1,28.1166706885457
-1,-0.625,-0.875,29.6033381595882
-1,-0.625,-0.75,30.9317446911197
-1,-0.625,-0.625,32.1018902831403
-1,-0.625,-0.5,33.1137749356499
-1,-0.625,-0.375,33.9673986486486
-1,-0.625,-0.25,34.6627614221364
-1,-0.625,-0.125,35.1998632561133
-1,-0.625,0,35.5787041505791
-1,-0.625,0.125,35.7992841055341
-1,-0.625,0.25,35.8616031209781
-1,-0.625,0.375,35.7656611969112
-1,-0.625,0.5,35.5114583333333
-1,-0.625,0.625,35.0989945302445
-1,-0.625,0.75,34.5282697876448
-1,-0.625,0.875,33.7992841055341
-1,-0.625,1,32.9120374839125
-1,-0.5,-1,28.7590733590734
-1,-0.5,-0.875,30.2354448198198
-1,-0.5,-0.75,31.5535553410553
-1,-0.5,-0.625,32.7134049227799
-1,-0.5,-0.5,33.7149935649936
-1,-0.5,-0.375,34.5583212676963
-1,-0.5,-0.25,35.243388030888
-1,-0.5,-0.125,35.7701938545689
-1,-0.5,0,36.1387387387387
-1,-0.5,0.125,36.3490226833977
-1,-0.5,0.25,36.4010456885457
-1,-0.5,0.375,36.2948077541828
-1,-0.5,0.5,36.0303088803089
-1,-0.5,0.625,35.6075490669241
-1,-0.5,0.75,35.0265283140283
-1,-0.5,0.875,34.2872466216216
-1,-0.5,1,33.389703989704
-1,-0.375,-1,29.2850104568855
-1,-0.375,-0.875,30.7510859073359
-1,-0.375,-0.75,32.0589004182754
-1,-0.375,-0.625,33.208453989704
-1,-0.375,-0.5,34.1997466216216
-1,-0.375,-0.375,35.0327783140283
-1,-0.375,-0.25,35.7075490669241
-1,-0.375,-0.125,36.2240588803089
-1,-0.375,0,36.5823077541828
-1,-0.375,0.125,36.7822956885457
-1,-0.375,0.25,36.8240226833977
-1,-0.375,0.375,36.7074887387387
-1,-0.375,0.5,36.4326938545689
-1,-0.375,0.625,35.999638030888
-1,-0.375,0.75,35.4083212676963
-1,-0.375,0.875,34.6587435649936
-1,-0.375,1,33.7509049227799
